stop_id,stop_name,lat,lng,direction_id,geo_wkt,city,create_time,creator,line_type,version,geom
bd91469009a465a12adcca3a7af50baf,熊猫大道,30.727814,104.105457,1,POINT(104.105457 30.727814),510112,20210521,ZhaoYubo,1,2021M5_cd,01010000009888B7CEBF065A402992AF0452BA3E40
bda2f126dafb657cb04ad8ffb0ccf9f1,神仙树,30.612155,104.045145,1,POINT(104.045145 30.612155),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000FDA4DAA7E3025A403815A930B69C3E40
bff3c89b95665c8d7c9cda9fee51c4df,新通大道,30.524375,104.095909,1,POINT(104.095909 30.524375),510112,20210521,ZhaoYubo,1,2021M5_cd,01010000001899805F23065A400AD7A3703D863E40
c0d525113a041f04e90553a1e007595e,石羊立交,30.59766,104.048377,1,POINT(104.048377 30.597660),510112,20210521,ZhaoYubo,1,2021M5_cd,01010000003B38D89B18035A409B20EA3E00993E40
c46ba9f924be1b0d9d9a5472849932ee,兴盛,30.733279,104.01911,1,POINT(104.019110 30.733279),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000B341261939015A40F5D72B2CB8BB3E40
c4a2d2e051d2eab592038bb9bcd55164,二环建设南路口,30.667644,104.110374,1,POINT(104.110374 30.667644),510112,20210521,ZhaoYubo,1,2021M5_cd,010100000009151C5E10075A40E15E99B7EAAA3E40
c5602a3d7069b6b9feee766b841e9a2f,中坝,30.676176,103.961938,1,POINT(103.961938 30.676176),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000E6B1666490FD59401157CEDE19AD3E40
c6d7c1b0f96df0722e6d5ab2b013775a,钟楼站,30.826116,104.167052,1,POINT(104.167052 30.826116),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000CF2EDFFAB00A5A40CCB392567CD33E40
c77f96654f28f427e06972c7dfaf04ef,武侯大道,30.639571,104.010583,1,POINT(104.010583 30.639571),510112,20210521,ZhaoYubo,1,2021M5_cd,010100000030B95164AD005A405378D0ECBAA33E40
cca7857155427e98eb897be2e9f831a0,合江,30.38644,104.165288,1,POINT(104.165288 30.386440),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000F69A1E14940A5A40C2DD59BBED623E40
cd8835e375712e0763c27e281c35be57,建设北路,30.673786,104.096243,1,POINT(104.096243 30.673786),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000035E66D828065A40AE80423D7DAC3E40
ce3867507efe358e0f773972876cab40,蒲草塘,30.504088,104.095916,1,POINT(104.095916 30.504088),510112,20210521,ZhaoYubo,1,2021M5_cd,010100000071CADC7C23065A40594E42E90B813E40
ce700e075cea072faab1586c917f7faa,中和二街口站,30.550165,104.093733,2,POINT(104.093733 30.550165),510112,20210521,ZhaoYubo,1,2021M5_cd,01010000009563B2B8FF055A4062670A9DD78C3E40
d14313ec7a85dbb8af09009cbacaca49,金沙博物馆,30.67998,104.010175,1,POINT(104.010175 30.679980),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000280F0BB5A6005A4020EF552B13AE3E40
d1cd4fb0d6ec0af6bddd490216c2bd56,马超西路,30.815537,104.162233,1,POINT(104.162233 30.815537),510112,20210521,ZhaoYubo,1,2021M5_cd,01010000003F558506620A5A408EAD6708C7D03E40
d457b50cf7ab1c2b000fda46d25d9c11,地铁市二医院站C口,30.662155,104.083626,1,POINT(104.083626 30.662155),510112,20210521,ZhaoYubo,1,2021M5_cd,010100000019C6DD205A055A4004E275FD82A93E40
d604bedd59084593f410c4d3fa289c10,文化宫,30.674378,104.007091,1,POINT(104.007091 30.674378),510112,20210521,ZhaoYubo,1,2021M5_cd,01010000002446CF2D74005A4053245F09A4AC3E40
d7371a8fd4b7f754e11da1b068938e68,武青南路,30.62512,103.982885,1,POINT(103.982885 30.625120),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000A7AE7C96E7FE5940551344DD07A03E40
d9b2148b9e655138bf0b1862f4b9e3ce,金融城北,30.591237,104.065447,1,POINT(104.065447 30.591237),510112,20210521,ZhaoYubo,1,2021M5_cd,0101000000C4279D4830045A40662FDB4E5B973E40
dabf5b7b11be73461b7a6ee842496806,桂湖东路站,30.825951,104.165382,1,POINT(104.165382 30.825951),510112,20210521,ZhaoYubo,1,2021M5_cd,01010000003656629E950A5A403719558671D33E40
